price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
8995,2013.0,7,2,3,2,124318.0,0,0,1,9,9,22
13000,2005.0,4,3,6,0,70000.0,0,0,2,2,0,3
6950,2005.0,7,2,6,2,265173.0,0,0,0,8,5,1
3500,2005.0,8,3,5,2,123000.0,0,0,2,2,10,4
180000,2013.0,11,0,1,2,60000.0,0,1,2,3,0,3
13635,2016.0,5,0,3,2,51805.0,4,0,0,0,5,48
3500,2004.0,18,0,5,2,150000.0,0,0,2,9,9,1
3900,2003.0,8,0,3,2,93966.0,0,0,1,4,8,15
5100,2009.0,39,0,5,2,167000.0,0,0,1,9,10,35
12950,2006.0,13,0,5,0,904281.0,0,0,0,10,8,12
4450,2000.0,7,2,6,2,172000.0,0,0,0,0,10,40
3995,2006.0,39,2,3,2,145754.0,0,0,1,4,5,9
26990,2017.0,6,2,5,2,24073.0,0,2,1,0,0,9
28950,2018.0,7,0,6,2,109206.0,0,0,0,10,10,4
2500,2005.0,7,2,5,2,179000.0,0,0,1,0,4,40
10300,2015.0,8,0,3,2,65000.0,0,0,1,9,10,33
6499,2007.0,39,2,3,2,101190.0,0,0,1,9,10,34
29995,2014.0,39,0,6,2,113000.0,0,0,0,10,0,29
4000,2006.0,13,0,5,2,140000.0,0,0,0,0,9,4
36995,2017.0,13,0,6,2,67579.0,0,0,2,0,5,22
14500,2015.0,21,0,3,3,55000.0,0,0,1,9,10,40
7000,2013.0,31,2,3,2,60000.0,5,0,2,8,9,10
11900,2011.0,4,0,5,2,111385.0,0,0,0,0,0,33
9000,2015.0,7,3,3,2,103939.0,0,0,1,9,0,22
24999,2015.0,3,0,5,2,56000.0,0,0,0,0,0,37
13995,2009.0,7,0,6,2,54000.0,0,0,2,8,5,48
6900,2010.0,13,0,5,2,188000.0,0,0,1,0,8,15
8595,2009.0,23,2,5,2,175689.0,0,0,0,0,8,23
6000,2005.0,37,2,3,2,88130.0,0,1,0,9,10,9
4500,2014.0,31,2,3,2,134977.0,0,0,1,4,1,19
10995,2011.0,14,0,5,2,105664.0,0,0,2,0,5,43
6995,2014.0,7,0,3,2,115695.0,0,0,1,9,10,45
9300,2009.0,34,2,6,2,170000.0,0,0,2,8,5,9
3800,2005.0,31,2,5,2,187000.0,0,0,0,0,5,38
18500,1995.0,13,0,6,2,126000.0,0,0,0,0,8,35
6500,2012.0,40,2,3,2,95800.0,0,0,1,9,5,43
4995,2003.0,27,0,5,2,98802.0,0,0,2,9,2,6
4900,2007.0,39,2,3,3,119000.0,0,0,1,4,5,34
11000,2005.0,37,2,3,2,200000.0,0,1,0,8,5,9
6900,1989.0,7,1,6,2,52034.0,0,0,0,10,0,9
5999,2008.0,8,0,6,2,179000.0,0,0,0,0,9,6
23995,2015.0,13,0,6,2,158373.0,0,0,0,10,10,9
8970,2015.0,7,0,5,2,56376.0,0,0,1,9,0,45
4000,1998.0,13,0,5,2,140000.0,0,0,2,8,1,9
8350,2011.0,16,3,3,2,95000.0,0,0,1,9,5,21
16900,2014.0,20,2,6,2,120000.0,0,0,0,0,10,32
34500,2008.0,7,2,6,0,137991.0,0,0,0,8,2,4
3500,2005.0,13,0,5,2,180000.0,0,0,2,0,5,27
8900,2014.0,29,2,3,2,105507.0,0,0,1,0,8,24
12990,2015.0,21,2,5,2,93090.0,0,2,1,11,0,17
17995,2017.0,40,0,3,2,54700.0,0,1,1,9,0,35
23600,2017.0,10,2,5,2,28649.0,0,0,1,5,0,4
